onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
0.927505668934,0.456916099773,4,1,1,1,'4/4',F7,A1,1,37
1.38442176871,0.431156462585,4,1,1,2,'4/4',F7,A1,1,43
1.81557823129,0.437505668934,4,1,1,3,'4/4',F7,A1,1,33
2.25308390023,0.466485260771,4,1,1,4,'4/4',F7,A1,1,36
2.719569161,0.476689342404,4,1,2,1,'4/4',Bb7,A1,1,34
3.1962585034,0.45693877551,4,1,2,2,'4/4',Bb7,A1,1,34
3.65319727891,0.482131519274,4,1,2,3,'4/4',Bb7,A1,1,41
4.13532879819,0.433197278912,4,1,2,4,'4/4',Bb7,A1,1,35
4.5685260771,0.465442176871,4,1,3,1,'4/4',F7,A1,1,36
5.03396825397,0.44716553288,4,1,3,2,'4/4',F7,A1,1,39
5.48113378685,0.431111111111,4,1,3,3,'4/4',F7,A1,1,43
5.91224489796,0.46664399093,4,1,3,4,'4/4',F7,A1,1,42
6.37888888889,0.451360544218,4,1,4,1,'4/4',F7,A1,1,41
6.83024943311,0.472380952381,4,1,4,2,'4/4',F7,A1,1,37
7.30263038549,0.476371882086,4,1,4,3,'4/4',F7,A1,1,36
7.77900226757,0.466689342404,4,1,4,4,'4/4',F7,A1,1,35
8.24569160998,0.466870748299,4,1,5,1,'4/4',Bb7,A1,1,43
8.71256235828,0.44716553288,4,1,5,2,'4/4',Bb7,A1,1,38
9.15972789116,0.456802721088,4,1,5,3,'4/4',Bb7,A1,1,37
9.61653061224,0.475532879819,4,1,5,4,'4/4',Bb7,A1,1,37
10.0920634921,0.467029478458,4,1,6,1,'4/4',Bb7,A1,1,46
10.5590929705,0.456825396825,4,1,6,2,'4/4',Bb7,A1,1,46
11.0159183673,0.466712018141,4,1,6,3,'4/4',Bb7,A1,1,37
11.4826303855,0.466848072562,4,1,6,4,'4/4',Bb7,A1,1,37
11.949478458,0.466689342404,4,1,7,1,'4/4',F7,A1,1,37
12.4161678005,0.456893424036,4,1,7,2,'4/4',F7,A1,1,43
12.8730612245,0.450702947846,4,1,7,3,'4/4',F7,A1,1,43
13.3237641723,0.480498866213,4,1,7,4,'4/4',F7,A1,1,44
13.8042630385,0.46798185941,4,1,8,1,'4/4',A-7,A1,1,45
14.272244898,0.451700680272,4,1,8,2,'4/4',A-7,A1,1,33
14.7239455782,0.491723356009,4,1,8,3,'4/4',D7,A1,1,38
15.2156689342,0.421519274376,4,1,8,4,'4/4',D7,A1,1,37
15.6371882086,0.447369614512,4,1,9,1,'4/4',G-7,A1,1,43
16.0845578231,0.466780045351,4,1,9,2,'4/4',G-7,A1,1,38
16.5513378685,0.456893424036,4,1,9,3,'4/4',G-7,A1,1,45
17.0082312925,0.466916099773,4,1,9,4,'4/4',G-7,A1,1,38
17.4751473923,0.457097505669,4,1,10,1,'4/4',C7,A1,1,43
17.932244898,0.450408163265,4,1,10,2,'4/4',C7,A1,1,37
18.3826530612,0.45693877551,4,1,10,3,'4/4',C7,A1,1,36
18.8395918367,0.42716553288,4,1,10,4,'4/4',C7,A1,1,42
19.2667573696,0.470204081633,4,1,11,1,'4/4',F7,A1,1,41
19.7369614512,0.484716553288,4,1,11,2,'4/4',F7,A1,1,33
20.2216780045,0.461496598639,4,1,11,3,'4/4',F7,A1,1,38
20.6831746032,0.425056689342,4,1,11,4,'4/4',F7,A1,1,38
21.1082312925,0.476621315193,4,1,12,1,'4/4',G-7,A1,1,43
21.5848526077,0.437437641723,4,1,12,2,'4/4',G-7,A1,1,37
22.0222902494,0.466802721088,4,1,12,3,'4/4',C7,A1,1,36
22.4890929705,0.422063492063,4,1,12,4,'4/4',C7,A1,1,40
22.9111564626,0.47641723356,4,1,13,1,'4/4',F7,A1,2,41
23.3875736961,0.475691609977,4,1,13,2,'4/4',F7,A1,2,41
23.8632653061,0.472358276644,4,1,13,3,'4/4',F7,A1,2,41
24.3356235828,0.451451247166,4,1,13,4,'4/4',F7,A1,2,41
24.7870748299,0.447188208617,4,1,14,1,'4/4',Bb7,A1,2,41
25.2342630385,0.456961451247,4,1,14,2,'4/4',Bb7,A1,2,34
25.6912244898,0.441587301587,4,1,14,3,'4/4',Bb7,A1,2,35
26.1328117914,0.447392290249,4,1,14,4,'4/4',Bb7,A1,2,38
26.5802040816,0.456009070295,4,1,15,1,'4/4',F7,A1,2,36
27.0362131519,0.477052154195,4,1,15,2,'4/4',F7,A1,2,39
27.5132653061,0.46589569161,4,1,15,3,'4/4',F7,A1,2,43
27.9791609977,0.457052154195,4,1,15,4,'4/4',F7,A1,2,41
28.4362131519,0.451609977324,4,1,16,1,'4/4',F7,A1,2,37
28.8878231293,0.437210884354,4,1,16,2,'4/4',F7,A1,2,35
29.3250340136,0.456916099773,4,1,16,3,'4/4',F7,A1,2,37
29.7819501134,0.451519274376,4,1,16,4,'4/4',F7,A1,2,36
30.2334693878,0.446235827664,4,1,17,1,'4/4',Bb7,A1,2,46
30.6797052154,0.491882086168,4,1,17,2,'4/4',Bb7,A1,2,46
31.1715873016,0.422244897959,4,1,17,3,'4/4',Bb7,A1,2,37
31.5938321995,0.456848072562,4,1,17,4,'4/4',Bb7,A1,2,38
32.0506802721,0.451587301587,4,1,18,1,'4/4',Bb7,A1,2,48
32.5022675737,0.48201814059,4,1,18,2,'4/4',Bb7,A1,2,46
32.9842857143,0.451632653061,4,1,18,3,'4/4',Bb7,A1,2,47
33.4359183673,0.465759637188,4,1,18,4,'4/4',Bb7,A1,2,43
33.9016780045,0.457006802721,4,1,19,1,'4/4',F7,A1,2,37
34.3586848073,0.481950113379,4,1,19,2,'4/4',F7,A1,2,45
34.8406349206,0.456916099773,4,1,19,3,'4/4',F7,A1,2,41
35.2975510204,0.45156462585,4,1,19,4,'4/4',F7,A1,2,36
35.7491156463,0.431836734694,4,1,20,1,'4/4',A-7,A1,2,33
36.180952381,0.447052154195,4,1,20,2,'4/4',A-7,A1,2,40
36.6280045351,0.465782312925,4,1,20,3,'4/4',D7,A1,2,37
37.0937868481,0.447369614512,4,1,20,4,'4/4',D7,A1,2,44
37.5411564626,0.476394557823,4,1,21,1,'4/4',G-7,A1,2,43
38.0175510204,0.46664399093,4,1,21,2,'4/4',G-7,A1,2,37
38.4841950113,0.491541950113,4,1,21,3,'4/4',G-7,A1,2,43
38.9757369615,0.456916099773,4,1,21,4,'4/4',G-7,A1,2,50
39.4326530612,0.451156462585,4,1,22,1,'4/4',C7,A1,2,39
39.8838095238,0.437641723356,4,1,22,2,'4/4',C7,A1,2,37
