lick     cnt: 746
line_w   cnt: 478
#lick    cnt: 368
melody   cnt: 312
line_w_d         cnt: 294
line_d   cnt: 190
#-lick   cnt: 180
expressive       cnt: 171
theme    cnt: 166
#+lick   cnt: 155
line_a   cnt: 147
line_w_a         cnt: 142
line_i_dd        cnt: 109
fragment         cnt: 99
rhythm_mi        cnt: 93
##lick   cnt: 82
line_cx          cnt: 80
line_t_alds      cnt: 79
#melody          cnt: 79
line_t_asdl      cnt: 74
#line_w          cnt: 64
lick_blues       cnt: 57
line_t_dlas      cnt: 57
line_w_cx        cnt: 56
void->lick       cnt: 56
rhythm_mr        cnt: 54
line_w_cv        cnt: 51
rhythm_si        cnt: 43
line_i_aa        cnt: 43
#expressive      cnt: 39
#line_w_d        cnt: 38
rhythm_sr        cnt: 36
line_cv          cnt: 35
quote    cnt: 32
#-melody         cnt: 31
#rhythm_mi       cnt: 30
#line_d          cnt: 29
line_t_dsal      cnt: 29
#3lick   cnt: 27
line_w_asdl      cnt: 24
#line_a          cnt: 23
#line_w_a        cnt: 21
oscillation      cnt: 21
#rhythm_mr       cnt: 20
line_w_dlas      cnt: 19
#+melody         cnt: 19
void->line_w     cnt: 17
##expressive     cnt: 17
##-lick          cnt: 16
#lick_blues      cnt: 16
line_w_alds      cnt: 15
void->expressive         cnt: 15
#7lick   cnt: 15
#line_i_dd       cnt: 14
#fragment        cnt: 12
#rhythm_si       cnt: 12
#+expressive     cnt: 12
#line_t_asdl     cnt: 12
##+lick          cnt: 11
#4lick   cnt: 11
void->melody     cnt: 11
line_i_hw        cnt: 11
##line_w         cnt: 11
lick_bebop       cnt: 11
line_i_ha        cnt: 10
#line_t_alds     cnt: 10
#8lick   cnt: 10
#5lick   cnt: 9
#10lick          cnt: 9
#-expressive     cnt: 9
#6lick   cnt: 9
#-line_d         cnt: 9
line_i_hd        cnt: 8
#13lick          cnt: 8
line_i_dh        cnt: 8
##melody         cnt: 8
#theme   cnt: 8
#+line_a         cnt: 8
#line_w_cx       cnt: 8
#14lick          cnt: 7
#11lick          cnt: 7
#rhythm_sr       cnt: 7
#9lick   cnt: 7
line_i_ad        cnt: 7
void->line_w_d   cnt: 7
#line_i_aa       cnt: 6
rhythm   cnt: 6
#17lick          cnt: 6
line_i_ah        cnt: 5
#+rhythm_mi      cnt: 5
line_i_wh        cnt: 5
#3melody         cnt: 5
#-oscillation    cnt: 5
#oscillation     cnt: 5
#line_cv         cnt: 5
#-rhythm_mr      cnt: 5
line_w_h         cnt: 5
void->##lick     cnt: 5
#+fragment       cnt: 5
#-line_a         cnt: 5
##line_w_d       cnt: 5
#-fragment       cnt: 5
##lick_blues     cnt: 5
#21lick          cnt: 4
void->line_w_a   cnt: 4
#+line_d         cnt: 4
void->lick_blues         cnt: 4
void->line_w_cx          cnt: 4
##line_w_a       cnt: 4
##-expressive    cnt: 4
#3-lick          cnt: 4
###lick          cnt: 4
