onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form
3.84145124717,0.227845804989,4,3,-2,3,1,0.440430839002,"""4/4""",60,0.579326660831,69.1224076437,1,1,-1,NC,I1
4.11632653061,0.0959183673469,4,3,-2,3,3,0.440430839002,"""4/4""",61,0.793843819932,70.9065988586,1,0,-1,NC,I1
4.28163265306,0.185714285714,4,2,-2,4,1,0.437414965986,"""4/4""",60,0.254655140625,66.2812157258,1,0,-1,NC,I1
4.51192743764,0.163990929705,4,2,-2,4,2,0.437414965986,"""4/4""",61,0.714068125378,66.1612695523,1,0,-1,NC,I1
4.70929705215,0.158185941043,4,2,-1,1,1,0.441768707483,"""4/4""",60,0.213963214733,66.0076510316,1,0,-1,NC,I1
4.91102040816,0.148027210884,4,2,-1,1,2,0.441768707483,"""4/4""",61,0.551748181014,70.8145620825,1,0,-1,NC,I1
5.09678004535,0.208979591837,4,1,-1,2,1,0.437505668934,"""4/4""",63,0.57916531789,70.8269368232,1,0,-1,NC,I1
5.50893424036,0.441179138322,4,1,-1,3,1,0.451405895692,"""4/4""",63,0.586712511426,69.8377680298,1,0,-1,NC,I1
6.00816326531,0.400544217687,4,1,-1,4,1,0.447142857143,"""4/4""",63,0.516202560876,70.30945725,1,0,-1,NC,I1
6.44489795918,0.2,4,2,0,1,1,0.440861678005,"""4/4""",63,0.511720051979,70.4097723311,1,0,-1,NC,I1
6.67573696145,0.139319727891,4,2,0,1,2,0.440861678005,"""4/4""",64,0.486351202751,68.3004186084,1,0,-1,NC,I1
6.8673015873,0.216235827664,4,2,0,2,1,0.437301587302,"""4/4""",66,0.552435993012,69.6346324519,1,0,-1,NC,I1
7.09950113379,0.174149659864,4,2,0,2,2,0.437301587302,"""4/4""",64,0.572531568249,70.8601040992,1,0,-1,NC,I1
7.34911564626,0.568888888889,4,1,0,3,1,0.457619047619,"""4/4""",63,0.45631825118,68.1494503816,1,0,-1,NC,I1
8.00507936508,0.133514739229,4,2,0,4,2,0.466349206349,"""4/4""",60,0.414272096043,67.5261331086,1,0,-1,NC,I1
8.22712018141,0.290249433107,4,3,1,1,1,0.441587301587,"""4/4""",58,0.373686949687,67.1256043786,1,0,-1,NC,I1
8.54349206349,0.441179138322,4,3,1,1,3,0.441587301587,"""4/4""",58,0.257196781604,62.8744920708,1,0,1,F-,A1
9.08163265306,0.285714285714,4,6,1,2,6,0.437392290249,"""4/4""",58,0.752000465831,61.2232253229,1,0,1,F-,A1
10.1057596372,0.0783673469388,4,4,2,1,2,0.456870748299,"""4/4""",57,0.216178519305,65.2855233075,2,1,1,F-j7,A1
10.2211337868,0.0863492063492,4,4,2,1,3,0.456870748299,"""4/4""",58,-0.0400061026011,62.8097280796,2,0,1,F-j7,A1
10.3241723356,0.103764172336,4,4,2,1,4,0.456870748299,"""4/4""",58,0.206417299514,64.1121437082,2,0,1,F-j7,A1
10.4653061224,0.112244897959,4,3,2,2,1,0.447120181406,"""4/4""",58,0.291818946915,67.8348808019,2,0,1,F-j7,A1
10.6326530612,0.0857142857143,4,3,2,2,2,0.447120181406,"""4/4""",58,0.331867761177,68.1840293966,2,0,1,F-j7,A1
10.7469387755,0.118367346939,4,3,2,2,3,0.447120181406,"""4/4""",58,0.581886643153,70.7014131206,2,0,1,F-j7,A1
