EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,135.00,34,296
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,17,17,210
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,26,26,154
Note-On,70,70,70
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,34,34,227
Note-Velocity,21,21,149
Note-On,70,70,70
Note-Duration,9,9,168
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Position,15,15,208
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,10,10,169
Position,16,16,209
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,29,29,222
Note-Velocity,19,19,147
Note-On,73,73,73
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,42,42,235
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,50,50,243
Note-Velocity,23,23,151
Note-On,67,67,67
Note-Duration,8,8,167
Position,59,59,252
Note-Velocity,14,14,142
Note-On,65,65,65
Note-Duration,17,17,176
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,32,32,225
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,2,2,195
Note-Velocity,28,28,156
Note-On,68,68,68
Note-Duration,9,9,168
Position,11,11,204
Note-Velocity,26,26,154
Note-On,70,70,70
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,18,18,211
Note-Velocity,27,27,155
Note-On,68,68,68
Note-Duration,9,9,168
Position,27,27,220
Note-Velocity,25,25,153
Note-On,70,70,70
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,35,35,228
Note-Velocity,26,26,154
Note-On,67,67,67
Note-Duration,9,9,168
Position,44,44,237
Note-Velocity,24,24,152
Note-On,65,65,65
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,58,58,251
Note-Velocity,21,21,149
Note-On,73,73,73
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,153.33,40,302
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Position,11,11,204
Note-Velocity,17,17,145
Note-On,67,67,67
Note-Duration,22,22,181
Position,16,16,209
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,48,48,241
